event_date,event_centroid_lat,event_centroid_long,animal_type,event_animal_number,event_animal_number_died,investigation_description,researcher_id
1913-02-13,51.4995,-9.1175,{Ziphius},566,566,a)Cuvier's Beaked Whale b)E=-1014900m N=6685600m,1
1913-03-06,50.72227152,-1.744973366,{Globicephala},1123,1123,Long-finned Pilot Whale,1
1913-03-06,60.44977781,-1.605549405,{Lagenorhynchus},1,1,White-sided Dolphin,1
1913-04-21,52.1049,-9.8976,{cetacean},2882,2882,a)Unidentified Cetaceans b)E=-1101700m N=6785400,1
1913-05-06,53.34364192,0.268462387,{cetacean},2883,2883,Unidentified Cetaceans,1
1913-07-08,58.67203558,-3.374386965,{Balaenoptera},2609,2609,Fin Whale,1
1913-07-25,57.59815056,-3.762044958,{cetacean},2884,2884,Unidentified Cetaceans,1
1913-08-01,54.62191569,-1.078397772,{Phocoena},1809,1809,a)1st info 1913/8-12 b)Common Porpoise,1
1913-08-01,54.62191569,-1.078397772,{Phocoena},4110,4110,a)1st info 1913/9 (of 1913/8-12) b)Common Porpoise,1
1913-08-01,54.62191569,-1.078397772,{Phocoena},4111,4111,a)1st info 1913/10 (of 1913/8-12) b)Common Porpoise,1
1913-08-01,54.62191569,-1.078397772,{Phocoena},4112,4112,a)1st info 1913/11 (of 1913/8-12) b)Common Porpoise,1
1913-08-01,54.62191569,-1.078397772,{Phocoena},4113,4113,a)1st info 1913/12 (of 1913/8-12) b)Common Porpoise,1
1913-08-08,55.07264096,-1.447110532,{cetacean},2885,2885,Unidentified Cetaceans,1
1913-08-09,55.1446,-8.1907,{Balaenoptera},2610,2610,a)Fin Whale b)E=-911700m N=7354900m,1
1913-08-11,54.62191569,-1.078397772,{Phocoena},1810,1810,Common Porpoise  Printout gives Mass,1
1913-08-11,54.62191569,-1.078397772,{Phocoena},1811,1811,Common Porpoise  Printout gives Mass,1
1913-08-12,55.04374785,-5.0509199,{cetacean},2886,2886,Unidentified Cetaceans,1
1913-08-21,52.85196601,1.484746092,{cetacean},2887,2887,Unidentified Cetaceans,1
1913-08-23,49.20119693,-2.019896829,{Grampus},981,981,"a)Risso's Dolphin. Estimated gref=49deg 11'47''N, 002deg 01'19''W (DKP) b)JREC=3.5m, 01 Aug 1913, 1st info 4m, dead,",1
1913-08-24,57.34539911,-1.93353066,{Balaenoptera},328,328,Lesser Rorqual,1
1913-08-28,60.44977781,-1.605549405,{Phocoena},1812,1812,Common Porpoise,1
1913-09-06,53.76752787,-6.18640282,{Balaenoptera},476,476,Unidentified rorquals,1
1913-09-07,52.85196601,1.484746092,{cetacean},2888,2888,Unidentified Cetaceans,1
1913-09-07,52.78691229,1.61455665,{cetacean},2889,2889,Unidentified Cetaceans,1
1913-09-08,52.82606959,1.539102051,{cetacean},2890,2890,Unidentified Cetaceans,1
1913-09-08,52.94571824,1.222764354,{odontocete},1544,1544,Unidentified Odontocetes,1
1913-09-08,53.30812209,0.292099847,{odontocete},1545,1545,Unidentified Odontocetes,1
1913-09-11,52.85196601,1.484746092,{odontocete},1546,1546,Unidentified Odontocetes,1
1913-09-13,53.4899967,-3.055160234,{odontocete},1547,1547,Unidentified Odontocetes,1
1913-09-18,53.47239305,0.162296952,{odontocete},1548,1548,Unidentified Odontocetes,1
1913-09-19,55.50285538,-1.613678014,{odontocete},1549,1549,Unidentified Odontocetes,1
1913-09-20,50.06830446,-5.078853852,{odontocete},1550,1550,Unidentified Odontocetes,1
1913-09-22,51.00373224,0.982865411,{Delphinus},699,699,Common dolphin,1
1913-09-26,56.55343565,-2.580797076,{Balaenoptera},329,329,Lesser Rorqual,1
1913-09-26,52.02026838,1.441543036,{Phocoena},1813,1813,Common Porpoise    Printout gives Mass,1
1913-09-26,52.02026838,1.441543036,{Phocoena},1814,1814,Common Porpoise   Printout gives Mass,1
1913-09-27,53.14503612,0.355191236,{Hyperoodon},225,225,Bottle-nosed Whale,1
1913-09-29,53.41946619,0.20476473,{odontocete},1551,1551,Unidentified Odontocetes. Grid ref. chosen for Saltfleet not          Mablethorpe (DKP).,1
1913-09-29,50.26927153,-4.780191696,{cetacean},2891,2891,Unidentified Cetaceans,1
1913-10-01,53.34364192,0.268462387,{odontocete},1552,1552,a)1st info 1913/41-42 b)Unidentified Odontocetes,1
1913-10-01,53.34364192,0.268462387,{odontocete},1553,1553,a)1st info 1913/42 (of 1913/41-42) b)Unidentified Odontocetes,1
1913-10-01,52.82606959,1.539102051,{odontocete},1554,1554,Unidentified Odontocetes,1
1913-10-02,51.38175044,1.310001397,{Phocoena},1815,1815,Common Porpoise,1
1913-10-02,53.34364192,0.268462387,{odontocete},1555,1555,Unidentified Odontocetes,1
